,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2,ntr,ale_mse,mean_mse
27,0.135,0.0024998977797898976,6.719090048368324e-05,-0.00046447582726837934,0.002025494287597306,0.0,0.0,13.0,0.42168708138318467,5.549153865576402
28,0.14,0.0028791031173237515,4.9227825756075336e-05,-0.000434769100305034,0.0023127640473608827,0.0,0.0,13.0,0.4209108276051318,5.549108354295558
29,0.145,0.0032973402863957003,3.350661165631529e-05,-0.0003788125160937225,0.002626056316884897,0.0,0.0,13.0,0.4213966699598961,5.55054805397941
30,0.15,0.0037538750375102074,1.9927328661387962e-05,-0.0002944649696423249,0.002966307459531325,0.0,0.0,13.0,0.4200240430071135,5.549665544474196
31,0.155,0.004245900831180591,9.039641640259829e-06,-0.00022157080735408605,0.0033344000000009614,0.0,0.0,13.0,0.42051275249340786,5.54890996247738
32,0.16,0.00477371458301693,1.3506544949310287e-06,-0.0001604029493414807,0.0037311595634302703,0.0,0.0,13.0,0.42188204303511084,5.548759020641067
33,0.165,0.005336173675252931,-4.43959290280199e-06,-0.00012003373636986176,0.0041573520858692896,0.0,0.0,13.0,0.42170359295790466,5.549340448261292
34,0.17,0.0059323545424310835,-9.85565707512418e-06,-0.00010557585851225944,0.0046136812902410375,0.0,0.0,14.0,0.27972414387944866,6.83953636492235
35,0.17500000000000002,0.006563634564541096,-1.552409010549159e-05,-7.313447184615322e-05,0.005100786421882799,0.0,0.0,14.0,0.28169350397391835,6.84033041573546
36,0.18,0.007228594186760323,-2.1398921327356025e-05,-1.202147345816584e-05,0.005619240237769719,0.0,0.0,14.0,0.28177302054513065,6.840647305010772
37,0.185,0.007924967143025277,-2.648084166705417e-05,5.333761227561787e-05,0.006169547243521104,0.0,0.0,14.0,0.28109029698193166,6.840991494980905
38,0.19,0.008652582201657462,-3.0360643210550432e-05,0.0001245211038501505,0.006752142172289888,0.0,0.0,14.0,0.2812667699472543,6.83996159010389
39,0.195,0.009408095558884956,-3.421679051979887e-05,0.00014153958643460388,0.007367388699635571,0.0,0.0,14.0,0.28130678438892265,6.838467653211774
40,0.2,0.010195754031492614,-3.939518855006441e-05,0.00012097483580136209,0.00801557838848117,0.0,0.0,14.0,0.2817751355549562,6.839407967294852
41,0.20500000000000002,0.011019678002752348,-4.692724615367316e-05,0.000123295193467258,0.008696929858254501,0.0,0.0,14.0,0.2815029381031248,6.839609188767559
42,0.21,0.01187486844187763,-5.589752318421143e-05,0.00010028308860581163,0.009411588172314252,0.0,0.0,14.0,0.28019613956209943,6.840159940414537
43,0.215,0.012760898178503238,-6.599847869224613e-05,6.609688491225393e-05,0.010159624437761212,0.0,0.0,14.0,0.2809050057828789,6.838969379343004
44,0.22,0.013679373988307089,-7.720522981323876e-05,5.020182703394807e-05,0.010941035611735152,0.0,0.0,14.0,0.2806458770594662,6.840386689351037
45,0.225,0.014624878006801482,-8.764165614445695e-05,7.683512419942331e-06,0.011755744508297616,0.0,0.0,15.0,0.40129677839782635,4.554053676501079
46,0.23,0.015599818870357218,-9.606357172268495e-05,-4.966393709944325e-05,0.012603600000001266,0.0,0.0,15.0,0.4012879164043735,4.5528767482347225
47,0.23500000000000001,0.016610018228585897,-0.00010422108949671991,-6.456843824355685e-05,0.013484377408245925,0.0,0.0,15.0,0.4008165652112539,4.554575025095967
48,0.24,0.017652247107915284,-0.00011400667747549323,-7.052794445154842e-05,0.01439777907652197,0.0,0.0,15.0,0.3994970806140198,4.552983625876871
49,0.245,0.018723328203683637,-0.00012461926328987262,-0.00011530837840007324,0.015343435120641295,0.0,0.0,16.0,49.42446887503021,57.34747173205953
50,0.25,0.01982913452121503,-0.0001355461992734231,-0.00012936377797855922,0.01632090435005644,0.0,0.0,16.0,49.43910118938119,57.347972587474395
51,0.255,0.020972424108012457,-0.00014820309650316347,-8.602663240789366e-05,0.01732967535436803,0.0,0.0,16.0,49.42853516587017,57.346446115518745
52,0.26,0.022148330049725714,-0.0001638041738932409,-4.3952143742172653e-05,0.01836916774912134,0.0,0.0,16.0,49.430830552241964,57.34489803519932
53,0.265,0.0233561311394619,-0.00018387122983736241,1.3385276479491179e-05,0.019438733574991887,0.0,0.0,16.0,49.42852433870766,57.348945435176475
54,0.27,0.024595515213727454,-0.00020903272883286263,8.43506471970334e-05,0.02053765884446101,0.0,0.0,16.0,49.42946625279942,57.345842806415
55,0.275,0.02586551715459258,-0.00023613716608483624,0.00017728383398228094,0.021665165230081357,0.0,0.0,16.0,49.421389413492975,57.34770046426998
