,xtr_0,xtr_1,ytr_0,x_epi_0,x_epi_1,y_epi_0,loss,mean_model,ale_model,epi_model,mean_true,ale_true,x_0,x_1,xte_0,xte_1,mean_modelte,ale_modelte,epi_modelte
884,,,,0.03274849110596203,0.0025107080007093783,0.0,0.026679011011445843,-1.2927929,0.21544819,0.99999964,-1.5957549311580779,0.22857204938036338,0.09886781187171026,0.09729649638984417,0.10816326530612247,0.004081632653061232,-0.8732809,0.19133943,1.0
885,,,,0.05229300406749403,0.13004159950593347,1.0,-0.06486643166155429,-1.2989513,0.2157696,0.9999995,-1.6134960318029543,0.23060009687201274,0.09889652267417715,0.09722183509229167,0.1142857142857143,0.004081632653061232,-0.7231276,0.31929436,1.0
886,,,,0.02517538897002601,-0.03687337519979546,1.0,0.025023047424214503,-1.3051957,0.21611215,0.9999994,-1.6138768398467218,0.22747487264869892,0.09892698927764172,0.09714515880662385,0.12040816326530615,0.004081632653061232,-0.4501281,0.6066778,1.0
887,,,,-0.03218294908856692,0.0653531490229312,1.0,0.015811383848696358,-1.3113496,0.2164561,0.99999917,-1.601705592578501,0.2275977343629252,0.09895750009704372,0.09706924725227642,0.12653061224489798,0.004081632653061232,0.027779192,1.3069224,1.0
888,,,,0.12878753984528718,0.08985648682624066,1.0,0.0722744848046984,-1.3172796,0.21677652,0.9999989,-1.609208582012362,0.2320644940105693,0.09898594985400128,0.09699677960978234,0.1326530612244898,0.004081632653061232,0.35980484,2.5954936,1.0
889,,,,0.13078233382043453,0.10000357895777927,1.0,0.6660511834280831,-1.3228117,0.21705598,0.99999857,-1.6051335015093218,0.2282322299397215,0.09901084980906528,0.09693035118060146,0.13877551020408166,0.004081632653061232,0.6837517,4.140628,1.0
890,,,,0.11712664852652109,0.092418029102337,1.0,0.05345335020987307,-1.3278109,0.2172842,0.9999982,-1.59754923157678,0.2323380565680917,0.09903132942212915,0.09687177352897128,0.14489795918367349,0.004081632653061232,1.0049304,5.6215777,1.0
891,,,,0.13921758716876192,0.044057671152531036,1.0,0.018949571024932606,-1.3320646,0.21745937,0.99999774,-1.5914278717688934,0.23226447149786222,0.0990471812385897,0.09682305249118821,0.1510204081632653,0.004081632653061232,1.3597977,7.1556897,1.0
892,,,,0.03639224719412419,0.06012961484687278,1.0,0.14973863746438706,-1.3354777,0.2175849,0.9999974,-1.6101776208922616,0.22984308289319264,0.0990586568120009,0.09678485737395727,0.15714285714285717,0.004081632653061232,1.7776705,8.787532,1.0
893,,,,0.04120407866250416,0.0035722540054075867,0.0,-0.2991978334529059,-1.3379778,0.21767294,0.9999969,-1.583046380461299,0.23055325945293348,0.0990667365275773,0.0967571083464319,0.16326530612244902,0.004081632653061232,2.161318,10.4017725,1.0
894,,,,0.1477708224984906,0.03978078280903241,1.0,0.029158881993896477,-1.339529,0.21773957,0.99999666,-1.6049219772787688,0.2344086265820431,0.0990727316792688,0.09673919441213884,0.16938775510204082,0.004081632653061232,2.5868719,12.113123,1.0
895,,,,0.1443191058903247,-0.028165769740937853,1.0,0.0033128751178436223,-1.3400855,0.21780765,0.99999666,-1.6005494133308056,0.2279505198163974,0.09907852064184777,0.09673014933446479,0.17551020408163268,0.004081632653061232,3.0282075,13.751568,1.0
896,,,,0.13340301328120846,0.00014863618386710964,1.0,0.455700663866195,-1.3396292,0.21790227,0.9999969,-1.601860076445031,0.22948416392308396,0.0990861346301986,0.09672870022843962,0.18163265306122453,0.004081632653061232,3.509053,15.333529,1.0
897,,,,0.07299578249247554,0.023072544388396746,1.0,-0.24763133568046367,-1.3381604,0.21804875,0.99999726,-1.5989988975375438,0.2327576205566404,0.09909765072389363,0.09673333898170206,0.18775510204081633,0.004081632653061232,3.97728,16.97706,1.0
898,,,,0.020737894534817447,0.1319563312066756,1.0,0.06250894069253247,-1.3357999,0.21826085,0.99999785,-1.6001940299963693,0.22895647842236813,0.09911425355719508,0.09674216723046525,0.19387755102040818,0.004081632653061232,4.4455004,18.62059,1.0
899,,,,0.08020505402330415,0.0755163124725169,1.0,0.006039271006584067,-1.3325778,0.21854602,0.99999845,-1.6010635891386225,0.23259571549543417,0.09913651298654845,0.09675450595281852,0.2,0.004081632653061232,4.9137254,20.264122,1.0
900,,,,-0.04669156822599865,0.11320274306178617,1.0,0.14934284629020017,-1.3285741,0.21889451,0.9999989,-1.6140372890603074,0.23307269442421347,0.0991636730587094,0.09677019571925159,-0.1,0.010204081632653073,11.59615,78.670135,1.0
901,,,,0.07069934061912012,0.002225302593938661,0.0,-0.10711265744361202,-1.3240296,0.21927713,0.9999993,-1.5928111457644283,0.2315139737131236,0.09919340331330002,0.09678878774778245,-0.09387755102040816,0.010204081632653073,10.629439,73.18339,1.0
902,,,,0.08077773847809283,0.0020628645466628176,0.0,0.04137747178167132,-1.3192254,0.21960738,0.9999995,-1.601806841332697,0.23103479975050342,0.09922323375535497,0.09681103474251293,-0.08775510204081632,0.010204081632653073,9.662732,67.69665,1.0
903,,,,0.09893233950536853,0.07676117332558396,0.0,0.009972769141261321,-1.3140198,0.21991244,0.99999976,-1.6047908739822792,0.23816754693426817,0.09925055302421246,0.09683850306283365,-0.0816326530612245,0.010204081632653073,8.695732,62.20856,1.0
904,,,,-0.01644032125594972,0.0063679336760247285,1.0,0.712648713013582,-1.3084849,0.22017676,0.9999999,-1.5974184972541625,0.23291520046498435,0.09927279472697721,0.09687199186576638,-0.07551020408163266,0.010204081632653073,7.7285967,56.7199,1.0
905,,,,0.056283378153216414,0.0981194067964656,0.0,-0.1719451052577872,-1.3027579,0.22038019,0.9999999,-1.6037924716527914,0.23196658833795783,0.09928789486724786,0.09691162053881629,-0.06938775510204082,0.010204081632653073,6.7614584,51.231228,1.0
906,,,,0.014767370384167394,0.0984627964122636,0.0,0.0720455012922936,-1.2969967,0.22050536,0.9999999,-1.6051617570453922,0.22862727257551638,0.09929413569379639,0.09695710549526661,-0.06326530612244899,0.010204081632653073,5.7940145,45.742355,1.0
907,,,,-0.029799182588081743,0.10741909886120897,1.0,0.027251150659695134,-1.2913517,0.22054935,1.0,-1.6005443875262344,0.23539573253010476,0.09929139148949129,0.09700723829862956,-0.05714285714285715,0.010204081632653073,4.8244634,40.252094,1.0
