,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,-1.914320012904445e-07,2.029287976307248e-07,2.189140036490151e-06,0.0,0.0,0.0
2,0.01,-1.1383514625944135e-06,1.5634252654506946e-06,1.256968476127773e-05,6.8035763674161355e-09,0.0,0.0
3,0.015,-1.1026157003798359e-06,3.951739699053606e-06,3.497961395675864e-05,1.0711671169230589e-07,0.0,0.0
4,0.02,1.1776082102702127e-06,6.836352096652514e-06,6.542319806735191e-05,5.335654401036076e-07,0.0,0.0
5,0.025,5.147544900717353e-06,1.1475084336852654e-05,9.96341811240456e-05,1.6591024239881452e-06,0.0,0.0
6,0.03,1.007244872886207e-05,1.9120870782066774e-05,0.0001372810163856706,3.984819387461134e-06,0.0,0.0
7,0.035,1.719048965011922e-05,2.9098680774296912e-05,0.00017842262452377592,8.128184320207057e-06,0.0,0.0
8,0.04,2.7782863055832533e-05,4.05373110749123e-05,0.00022238261996345647,1.4811697552102452e-05,0.0,0.0
9,0.045,4.155796277307892e-05,5.1479871439008675e-05,0.00026949153628307455,2.4851960799032064e-05,0.0,0.0
10,0.05,5.817686242838968e-05,5.9715158237920095e-05,0.0003210958251107334,3.914915328031e-05,0.0,0.0
11,0.055,7.91731094111588e-05,6.402364620843269e-05,0.00038475733306366096,5.867690900811733e-05,0.0,0.0
12,0.06,0.00010585203290513448,6.416855522429074e-05,0.00046066956097098535,8.447258934936758e-05,0.0,0.0
13,0.065,0.0001375587151689196,6.174648841350443e-05,0.000540962022007404,0.00011762794496041193,0.0,0.0
14,0.07,0.00017364566325435673,5.833573758047932e-05,0.0006259485229943376,0.0001592801611949952,0.0,0.0
15,0.075,0.00021532868710253495,5.378194070448868e-05,0.0007099975175687193,0.00021060328108587456,0.0,0.0
16,0.08,0.000263957502125146,4.8033197674067096e-05,0.0007903862258078557,0.0002728000000005121,0.0,0.0
17,0.085,0.0003195617867711116,4.260458329353934e-05,0.0008792481845242033,0.0003470938260712539,0.0,0.0
18,0.09,0.00038194767648916714,3.9067495127205454e-05,0.0009787566957058362,0.0004347216005004041,0.0,0.0
19,0.095,0.0004518352042818557,3.703213537610191e-05,0.0010609879447140461,0.00053692637184061,0.0,0.0
20,0.1,0.000531507668899277,3.609847340414388e-05,0.0011252930530141392,0.0006549506183509668,0.0,0.0
21,0.105,0.0006239032286991878,3.700019821105667e-05,0.0011937634744988272,0.0007900298125292518,0.0,0.0
22,0.11,0.0007302480984233838,4.0223776077562435e-05,0.0012548557271911257,0.0009433863219207043,0.0,0.0
23,0.115,0.0008527933894010708,4.523455775728472e-05,0.0013076685695325707,0.0011162236403037624,0.0,0.0
24,0.12,0.0009946025104441045,5.152896441720368e-05,0.0013630863778606758,0.0013097209433531576,0.0,0.0
