,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,-2.521011289520047e-07,2.6911849297702233e-07,-8.728736248290238e-05,0.0,0.0,0.0
2,0.01,-1.5435114437237291e-06,2.0021538836525404e-06,-0.0003053988805062874,6.8035763674161355e-09,0.0,0.0
3,0.015,-1.554387767530103e-06,4.899108146532806e-06,-0.0005771423432659979,1.0711671169230589e-07,0.0,0.0
4,0.02,2.1885679262344854e-06,9.170371235447114e-06,-0.0008673710460165624,5.335654401036076e-07,0.0,0.0
5,0.025,7.937294046332165e-06,1.3976941065154485e-05,-0.001157232719237592,1.6591024239881452e-06,0.0,0.0
6,0.03,1.47436370723806e-05,1.8259680834079912e-05,-0.0014341308529410561,3.984819387461134e-06,0.0,0.0
7,0.035,2.2459610249361063e-05,2.0398645452695435e-05,-0.0017076605068431405,8.128184320207057e-06,0.0,0.0
8,0.04,3.157704064780471e-05,1.887742177738147e-05,-0.001964257023156136,1.4811697552102452e-05,0.0,0.0
9,0.045,4.1197366638964115e-05,1.3840885417626792e-05,-0.0021787856720566563,2.4851960799032064e-05,0.0,0.0
10,0.05,5.046062321902536e-05,6.000613428052205e-06,-0.002420930094409083,3.914915328031e-05,0.0,0.0
11,0.055,6.153907656626103e-05,-5.683805724853368e-06,-0.0027147311119036497,5.867690900811733e-05,0.0,0.0
12,0.06,7.743548877479689e-05,-2.266883103174798e-05,-0.0030047805344527076,8.447258934936758e-05,0.0,0.0
13,0.065,0.00010083050467745215,-4.554389103419835e-05,-0.0032594604523838062,0.00011762794496041193,0.0,0.0
14,0.07,0.00013355082955699668,-7.355703686170648e-05,-0.003475049250359097,0.0001592801611949952,0.0,0.0
15,0.075,0.00017795366234304343,-0.00010541746664147256,-0.0036974191900770235,0.00021060328108587456,0.0,0.0
16,0.08,0.00023691600233864116,-0.0001402260577485214,-0.003935276932820962,0.0002728000000005121,0.0,0.0
17,0.085,0.00031106573016400117,-0.0001752823574615691,-0.004189689221566412,0.0003470938260712539,0.0,0.0
18,0.09,0.0004015644403978345,-0.00020779088195501029,-0.004441289159685728,0.0004347216005004041,0.0,0.0
19,0.095,0.0005114075771104428,-0.00023734775960010678,-0.00466903353084597,0.00053692637184061,0.0,0.0
20,0.1,0.0006428878747328929,-0.0002647165081736751,-0.004909654992901955,0.0006549506183509668,0.0,0.0
21,0.105,0.0007993412228283173,-0.0002902617109198858,-0.005175887058780211,0.0007900298125292518,0.0,0.0
22,0.11,0.0009852455324643856,-0.00031288426078880644,-0.005427909842925117,0.0009433863219207043,0.0,0.0
23,0.115,0.0012017832735334087,-0.00033141230024915475,-0.005653102346653887,0.0011162236403037624,0.0,0.0
24,0.12,0.0014500088271250913,-0.0003461055630116179,-0.005861804980461856,0.0013097209433531576,0.0,0.0
25,0.125,0.00173118730496964,-0.0003576105448019219,-0.006087814518438011,0.0015250279628807955,0.0,0.0
26,0.13,0.002046654900681729,-0.0003647587261709021,-0.006339369556495385,0.0017632601737548254,0.0,0.0
27,0.135,0.0023965003160033934,-0.00036594582162457996,-0.006576976761914227,0.002025494287597306,0.0,0.0
28,0.14,0.0027810110735369195,-0.0003612099683813941,-0.006780282469303482,0.0023127640473608827,0.0,0.0
29,0.145,0.0032006149129535054,-0.0003520921797929181,-0.006980053783439893,0.002626056316884897,0.0,0.0
30,0.15,0.003655439301866154,-0.0003399506881047631,-0.007168646934858847,0.002966307459531325,0.0,0.0
31,0.155,0.00414394198981038,-0.00032474174126831043,-0.007358612919998379,0.0033344000000009614,0.0,0.0
32,0.16,0.0046652479060362816,-0.00030761495229361636,-0.007572190967777483,0.0037311595634302703,0.0,0.0
33,0.165,0.005221115965815788,-0.0002903830280069274,-0.007746427755375651,0.0041573520858692896,0.0,0.0
34,0.17,0.0058088131049998,-0.0002745912999381581,-0.00790368790854478,0.0046136812902410375,0.0,0.0
35,0.17500000000000002,0.006427581886950603,-0.0002623868000006833,-0.008065633286523072,0.005100786421882799,0.0,0.0
36,0.18,0.007078202074382844,-0.0002557227600268907,-0.008237352438610415,0.005619240237769719,0.0,0.0
37,0.185,0.007761453899482073,-0.00025531620482803296,-0.008407696343461167,0.006169547243521104,0.0,0.0
38,0.19,0.008477340071422876,-0.00026012428007713816,-0.008585248795712099,0.006752142172289888,0.0,0.0
39,0.195,0.009226601231854058,-0.0002701693455110149,-0.008804798279264484,0.007367388699635571,0.0,0.0
40,0.2,0.01001322038178657,-0.00028604845117129353,-0.009012202538429513,0.00801557838848117,0.0,0.0
41,0.20500000000000002,0.010837550711607255,-0.00030671198641021917,-0.009202033991504141,0.008696929858254501,0.0,0.0
42,0.21,0.011697738360371409,-0.00032992861006133446,-0.009405107874446084,0.009411588172314252,0.0,0.0
43,0.215,0.012592811840506691,-0.0003533870584653585,-0.009596819280404187,0.010159624437761212,0.0,0.0
44,0.22,0.013523226265199311,-0.00037546580091267045,-0.009770406776174542,0.010941035611735152,0.0,0.0
45,0.225,0.014487734920152706,-0.0003949632748016949,-0.009937067588258302,0.011755744508297616,0.0,0.0
46,0.23,0.015486719579120206,-0.0004105477248056053,-0.01009402779531249,0.012603600000001266,0.0,0.0
47,0.23500000000000001,0.016520336761068476,-0.00042152138309265336,-0.01023067773485563,0.013484377408245925,0.0,0.0
48,0.24,0.017585321213009163,-0.00042672951104223407,-0.010373489094193855,0.01439777907652197,0.0,0.0
49,0.245,0.018680029716187114,-0.00042519338165766894,-0.010558233754774519,0.015343435120641295,0.0,0.0
