,xtr_0,xtr_1,ytr_0,x_epi_0,x_epi_1,y_epi_0,loss,mean_model,ale_model,epi_model,mean_true,ale_true,x_0,x_1,xte_0,xte_1,mean_modelte,ale_modelte,epi_modelte
0,2.0798214076578514e-07,-1.688387191731991e-07,0.03505800399623203,0.1491971776247526,0.008120524014534489,1.0,1.8947618007659912,0.019486025,0.16812924,4.3239643e-06,0.03316575474100119,0.006396385121767276,0.0,0.0,-0.1,-0.1,-13.746965,64.822075,1.0
1,1.4293226557567745e-06,-1.0019520653297071e-06,0.03195576263775532,0.08693775455529675,0.09007312037340524,1.0,7.517667293548584,0.01948531,0.168126,4.3238283e-06,0.03336071210620075,0.00638848668283611,2.0798214076578514e-07,-1.688387191731991e-07,-0.09387755102040816,-0.1,-13.553555,63.502533,1.0
2,2.7079912191467863e-06,-1.0276945308257758e-06,0.03557732469548341,0.03335608348571997,0.02365467622429529,1.0,0.012137854047929117,0.019485459,0.1681111,4.3233786e-06,0.0336547789200514,0.006320323938132909,1.4293226557567745e-06,-1.0019520653297071e-06,-0.08775510204081632,-0.1,-13.36014,62.182983,1.0
3,2.523406607668395e-06,-1.363855441481369e-09,0.03466522118481336,-0.03899376234709593,0.05141762429891224,1.0,0.010699695940662036,0.019511238,0.16811895,4.3250243e-06,0.0334835039182322,0.006670451821245849,2.7079912191467863e-06,-1.0276945308257758e-06,-0.0816326530612245,-0.1,-13.191047,60.70365,1.0
4,1.585425670329063e-06,3.026811128783454e-07,0.030124686848525793,0.08471172602473709,0.10070885439771682,0.0,2.541043519973755,0.01953809,0.16814616,4.327322e-06,0.03335128152244798,0.006405699704076782,2.523406607668395e-06,-1.363855441481369e-09,-0.07551020408163266,-0.1,-13.073655,58.88466,1.0
5,5.2339448659093e-07,-1.777079164258264e-06,0.025132866074962804,0.08198598611093112,0.07648656255036095,1.0,1.345791220664978,0.019527957,0.16814838,4.3268396e-06,0.033235429035190125,0.006311972550930341,1.585425670329063e-06,3.026811128783454e-07,-0.06938775510204082,-0.1,-12.961481,57.09766,1.0
6,-1.816379173263125e-06,-5.819405335816425e-06,0.036375457841888316,0.024452197949406895,0.0359657707125554,1.0,0.008381270838851054,0.019443586,0.16808349,4.3202504e-06,0.033165519147952724,0.0063563864934671,5.2339448659093e-07,-1.777079164258264e-06,-0.06326530612244899,-0.1,-12.859191,55.371197,1.0
7,-1.0730576918659678e-06,-3.006743727693608e-05,0.037329818882096,-0.02406302415713124,0.05397521588460784,1.0,0.008767345825690354,0.019273713,0.16795582,4.307111e-06,0.033868379506136484,0.006404121254965932,-1.816379173263125e-06,-5.819405335816425e-06,-0.05714285714285715,-0.1,-12.756815,53.64501,1.0
8,1.1768830310733959e-05,-4.513553284969812e-05,0.02988527289463141,0.1380886537670824,0.08800139774786199,1.0,1.3234374523162842,0.019088134,0.16782166,4.2929632e-06,0.0330477397193756,0.006332959426293646,-4.8235408360309345e-06,-9.93384550789828e-06,-0.05102040816326531,-0.1,-12.65425,51.919487,1.0
9,2.571921052771473e-05,-5.235994835773077e-05,0.022896653408722312,0.06326127346259051,-0.02191282831726693,1.0,1.0007508993148804,0.01893656,0.16770342,4.2811844e-06,0.03334150913357604,0.006439035308571575,-6.549246673003187e-06,-1.3790401960501125e-05,-0.044897959183673466,-0.1,-12.551682,50.19397,1.0
10,7.672226496674484e-05,-5.9614864977235524e-05,0.022418374906546485,0.13410258473557118,-0.015155761118830172,1.0,0.017512946881795582,0.018799558,0.16757055,4.2697716e-06,0.03318799226635894,0.006417275335777564,-5.998356642056878e-06,-1.873572925012124e-05,-0.03877551020408163,-0.1,-12.515121,48.33347,1.0
11,0.00017092281584300437,-5.7298784317318536e-05,0.029356562807721018,0.006384657157004623,0.10040473225813515,0.0,0.013865783809076115,0.018674359,0.16742961,4.2587913e-06,0.03350664067662926,0.006255052842233348,-3.900953534601236e-06,-2.43459909102721e-05,-0.0326530612244898,-0.1,-12.636943,46.149086,1.0
12,0.0012705478518170046,6.834541034123149e-05,0.035029887271253626,-0.0007467440036814862,-0.014625193793246116,1.0,0.7398175001144409,0.01856108,0.16729075,4.248528e-06,0.03343536045961632,0.006391055849265159,-1.0730576918659678e-06,-3.006743727693608e-05,-0.026530612244897958,-0.1,-12.758764,43.964706,1.0
13,0.003573660078611827,0.000185407252173783,0.02081129646181769,-0.015783412674655238,-0.0048803407382198155,1.0,0.7504153251647949,0.018444493,0.16712786,4.2373886e-06,0.03312605761802262,0.006469514732837292,3.4754240278560782e-06,-3.708093123427001e-05,-0.020408163265306117,-0.1,-12.880587,41.78033,1.0
14,0.01161389880615999,0.00023773527341234573,0.0010205018601118756,0.0894640939897355,0.020596824818543885,1.0,0.013215961375440137,0.018373683,0.16696154,4.2286406e-06,0.03331214235692972,0.006514063549928077,1.1768830310733959e-05,-4.513553284969812e-05,-0.01428571428571429,-0.1,-13.002409,39.595947,1.0
15,0.012521617310111746,0.00024109507967963562,0.004700679971273836,0.07069327486949062,0.1486270976729151,1.0,0.014108547652658435,0.018445149,0.16685602,4.22931e-06,0.03334120388587453,0.006299528220555783,2.571921052771473e-05,-5.235994835773077e-05,-0.00816326530612245,-0.1,-13.12423,37.41157,1.0
16,0.018678536863520716,0.00023681249420424421,0.08269818886778188,-0.030061622563998247,0.08621218136516175,1.0,0.2965553104877472,0.018740728,0.16686791,4.245511e-06,0.03343254065684804,0.006344665382546947,4.687436310569675e-05,-5.706868450561659e-05,-0.002040816326530609,-0.1,-13.176847,35.53565,1.0
