,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2,ntr,ale_mse,mean_mse
0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.005,2.0798214076578514e-07,-1.688387191731991e-07,2.4355235913459036e-06,0.0,0.0,0.0,1.0,0.13718064061525354,2.754189608484018
2,0.01,1.4293226557567745e-06,-1.0019520653297071e-06,9.261435500229654e-06,6.8035763674161355e-09,0.0,0.0,2.0,1.031519589594896,0.15343803686712898
3,0.015,2.7079912191467863e-06,-1.0276945308257758e-06,3.852182662285638e-05,1.0711671169230589e-07,0.0,0.0,3.0,0.21205581278567748,0.051510106109055764
4,0.02,2.523406607668395e-06,-1.363855441481369e-09,9.06656489034357e-05,5.335654401036076e-07,0.0,0.0,4.0,0.4780504478962895,0.021001006133787338
5,0.025,1.585425670329063e-06,3.026811128783454e-07,0.00014919543774284815,1.6591024239881452e-06,0.0,0.0,5.0,1.638779631246868,0.011366801849366424
6,0.03,5.2339448659093e-07,-1.777079164258264e-06,0.00021344060895356082,3.984819387461134e-06,0.0,0.0,6.0,1.1089618614091328,0.013058793349286535
7,0.035,-1.816379173263125e-06,-5.819405335816425e-06,0.00028194435340495304,8.128184320207057e-06,0.0,0.0,7.0,6.403081737882339,0.02445508245519981
8,0.04,-4.8235408360309345e-06,-9.93384550789828e-06,0.00035163901345003584,1.4811697552102452e-05,0.0,0.0,7.0,6.401527238693052,0.02457636266664002
9,0.045,-6.549246673003187e-06,-1.3790401960501125e-05,0.0004083380059169354,2.4851960799032064e-05,0.0,0.0,7.0,6.39979071495773,0.024544925258912227
10,0.05,-5.998356642056878e-06,-1.873572925012124e-05,0.00045593428287800337,3.914915328031e-05,0.0,0.0,7.0,6.404178273243064,0.024516752201093072
11,0.055,-3.900953534601236e-06,-2.43459909102721e-05,0.0005091617086680916,5.867690900811733e-05,0.0,0.0,7.0,6.40002459768652,0.024472712726568223
12,0.06,-1.0730576918659678e-06,-3.006743727693608e-05,0.0005680481505075819,8.447258934936758e-05,0.0,0.0,8.0,10.137581491087968,0.029401649420870812
13,0.065,3.4754240278560782e-06,-3.708093123427001e-05,0.0006202415698758869,0.00011762794496041193,0.0,0.0,8.0,10.137775745824348,0.029382921483886205
14,0.07,1.1768830310733959e-05,-4.513553284969812e-05,0.0006591654267312044,0.0001592801611949952,0.0,0.0,9.0,3.8796675977668125,0.013818022103313971
15,0.075,2.571921052771473e-05,-5.235994835773077e-05,0.000718080000372448,0.00021060328108587456,0.0,0.0,10.0,2.649559161358185,0.01615748267978039
16,0.08,4.687436310569675e-05,-5.706868450561659e-05,0.0008025074641355743,0.0002728000000005121,0.0,0.0,10.0,2.6538158835270202,0.01627798704621362
17,0.085,7.672226496674484e-05,-5.9614864977235524e-05,0.000884441893472425,0.0003470938260712539,0.0,0.0,11.0,1.2855044243485463,0.01773200833842832
18,0.09,0.00011745266506572976,-6.019248631413658e-05,0.0009630986583263441,0.0004347216005004041,0.0,0.0,11.0,1.283781337509615,0.01772080621362208
19,0.095,0.00017092281584300437,-5.7298784317318536e-05,0.001045540966204759,0.00053692637184061,0.0,0.0,12.0,0.6861782767880087,0.011095757032119333
20,0.1,0.00023950446426203558,-4.9251318901754064e-05,0.0011450235005047813,0.0006549506183509668,0.0,0.0,12.0,0.686981084651841,0.011089782096206206
21,0.105,0.00032544041750976426,-3.645348644929645e-05,0.0012613467520934043,0.0007900298125292518,0.0,0.0,12.0,0.6878043888106788,0.011026580714757265
22,0.11,0.00042959110911485295,-2.0877055309182378e-05,0.0013828124474493386,0.0009433863219207043,0.0,0.0,12.0,0.6863682324518321,0.011086254219934694
23,0.115,0.000553639581422208,-3.985813336377889e-06,0.0015085457540919367,0.0011162236403037624,0.0,0.0,12.0,0.6878033699440869,0.01107007125469538
24,0.12,0.000699195118660988,1.3140245061271544e-05,0.0016384915847737734,0.0013097209433531576,0.0,0.0,12.0,0.6853073250708066,0.011108859961140452
25,0.125,0.0008669431107979273,3.094627633439947e-05,0.0017729259326807242,0.0015250279628807955,0.0,0.0,12.0,0.6859533852363823,0.011034468400729119
26,0.13,0.0010567744175669733,4.973102453053938e-05,0.001900824389890413,0.0017632601737548254,0.0,0.0,12.0,0.6856235639927872,0.011090833589665564
27,0.135,0.0012705478518170046,6.834541034123149e-05,0.0020225875478518235,0.002025494287597306,0.0,0.0,13.0,0.6265067875160856,0.014569138638242418
28,0.14,0.0015107456525460603,8.695576269877627e-05,0.0021405547892732633,0.0023127640473608827,0.0,0.0,13.0,0.6257265919402873,0.014561638775755692
29,0.145,0.0017788773850138729,0.00010579134099705953,0.002248062783941953,0.002626056316884897,0.0,0.0,13.0,0.627945443246871,0.014490111477539943
30,0.15,0.0020744748904703643,0.00012387849773163988,0.0023286378243194757,0.002966307459531325,0.0,0.0,13.0,0.6261606746580561,0.014553130897128619
31,0.155,0.0023989578761686985,0.0001415847946846646,0.002386969012323839,0.0033344000000009614,0.0,0.0,13.0,0.6261550441524683,0.01452946973469158
32,0.16,0.0027553584935742434,0.00015884469741664673,0.002441587121500306,0.0037311595634302703,0.0,0.0,13.0,0.6252720202381425,0.014553859095766671
33,0.165,0.003146238928913896,0.00017402125804288546,0.002499937649477445,0.0041573520858692896,0.0,0.0,13.0,0.6264921574628006,0.014549569441219833
34,0.17,0.003573660078611827,0.000185407252173783,0.002566496966283678,0.0046136812902410375,0.0,0.0,14.0,0.6661589629265762,0.013153105539187032
35,0.17500000000000002,0.004037695805608534,0.00019320830614877882,0.002639910729547986,0.005100786421882799,0.0,0.0,14.0,0.6668093550591367,0.01314204142893489
36,0.18,0.004538863818653986,0.00019778941121278686,0.002721389573710984,0.005619240237769719,0.0,0.0,14.0,0.6660908315866676,0.013185690337844119
37,0.185,0.005077031448267596,0.00019936314440249255,0.002807310554615961,0.006169547243521104,0.0,0.0,14.0,0.667233847774338,0.013158765445970905
38,0.19,0.005652912571274588,0.00019974980839956407,0.0028983840870213445,0.006752142172289888,0.0,0.0,14.0,0.667267352795323,0.013177746421405252
39,0.195,0.006266916888848674,0.00020099990921213474,0.0030003987227610945,0.007367388699635571,0.0,0.0,14.0,0.6668396580475141,0.013162129430286778
40,0.2,0.006918308144178178,0.00020502678827143852,0.0031104890879151527,0.00801557838848117,0.0,0.0,14.0,0.6673087861965012,0.013099114568455219
41,0.20500000000000002,0.0076069364064148375,0.0002115551098746307,0.0032179615497945893,0.008696929858254501,0.0,0.0,14.0,0.6669617900280536,0.01312341621092512
42,0.21,0.008333097047262176,0.00021860517829725735,0.003327065124566979,0.009411588172314252,0.0,0.0,14.0,0.6658110681590237,0.01317917651535358
43,0.215,0.00909648021979817,0.00022426194206854797,0.003438174643975574,0.010159624437761212,0.0,0.0,14.0,0.6671473158125957,0.013059668385621176
44,0.22,0.009897934894272245,0.00022850321846873823,0.003548064557133865,0.010941035611735152,0.0,0.0,14.0,0.6676115585687384,0.013132151685019553
45,0.225,0.010737653513104968,0.00023302420011174661,0.0036611729252936432,0.011755744508297616,0.0,0.0,14.0,0.6670041382752739,0.013239970619299648
46,0.23,0.01161389880615999,0.00023773527341234573,0.003779584320891425,0.012603600000001266,0.0,0.0,15.0,1.238743475370302,0.015387457710145982
47,0.23500000000000001,0.012521617310111746,0.00024109507967963562,0.003872090329576199,0.013484377408245925,0.0,0.0,16.0,1.4959604974575575,0.02176761487671835
48,0.24,0.013461703425887173,0.00024275562768962013,0.003935929746272721,0.01439777907652197,0.0,0.0,16.0,1.4948389670685551,0.021753619083731683
49,0.245,0.014438623415137115,0.0002436105343725511,0.004004680507870787,0.015343435120641295,0.0,0.0,16.0,1.4959295275267563,0.02172385969129541
50,0.25,0.015450960148893956,0.00024312380927158937,0.004084332601165042,0.01632090435005644,0.0,0.0,16.0,1.4952074698839266,0.02170341007789773
51,0.255,0.01649589692724343,0.00024085171015793047,0.00417315993480683,0.01732967535436803,0.0,0.0,16.0,1.4956627825662114,0.021711691011414534
52,0.26,0.017571945015578315,0.00023829250876281188,0.00426527957821928,0.01836916774912134,0.0,0.0,16.0,1.495499561497375,0.02178537228518624
53,0.265,0.018678536863520716,0.00023681249420424421,0.004359504144081822,0.019438733574991887,0.0,0.0,17.0,3.3313082462208405,0.05256996052533876
54,0.27,0.019813026344651038,0.00023589229316492275,0.004452527587253021,0.02053765884446101,0.0,0.0,17.0,3.331186335505096,0.05259050833565515
55,0.275,0.02097221459380244,0.00023492063566199177,0.0045351133791094395,0.021665165230081357,0.0,0.0,17.0,3.331775744229745,0.052554662726854905
56,0.28,0.02215474091015144,0.00023485840597819646,0.004600340032840931,0.022820411888432996,0.0,0.0,17.0,3.3312502457662676,0.052562936454083366
57,0.28500000000000003,0.02336360092360693,0.0002351718799029512,0.0046655225945093194,0.02400249741387052,0.0,0.0,17.0,3.3317944109131155,0.05248341026848484
58,0.29,0.024601893119582264,0.00023556412950344902,0.004755012538964157,0.025210461916161372,0.0,0.0,18.0,3.9938135980285,0.07099198686231425
59,0.295,0.02586659520830973,0.00023724036609775077,0.004854351469163511,0.02644328921611607,0.0,0.0,18.0,3.992102718602799,0.07097663819996736
60,0.3,0.027153868153168587,0.00023999711582569575,0.0049467806525801085,0.02769990915331063,0.0,0.0,18.0,3.9924365741127246,0.07105757252441039
61,0.305,0.028463975188741417,0.00024224348718958734,0.0050548569906778635,0.02897920000000135,0.0,0.0,18.0,3.9935826164438546,0.07105996335921358
62,0.31,0.029795542334696726,0.00024249727998724584,0.005187052740569844,0.030279990975332977,0.0,0.0,18.0,3.9939073028744145,0.07110776425967728
63,0.315,0.031143274194963967,0.00024089327454259902,0.005311455242194586,0.03160106485393986,0.0,0.0,18.0,3.9910019757592203,0.07101734619970397
64,0.32,0.03250374726600701,0.00023848317956373305,0.005411600229509104,0.032941160663041355,0.0,0.0,18.0,3.9930926559038724,0.07095772359366351
65,0.325,0.03387685809531778,0.00023525919229328544,0.005494105116523844,0.03429897646213109,0.0,0.0,19.0,7.58276973267874,0.4860669980761817
66,0.33,0.03526143178814508,0.0002313923856807915,0.005546623181381795,0.035673172199361204,0.0,0.0,20.0,9.653432466666823,2.0663375983679337
67,0.335,0.03665797552252025,0.00022738636551104726,0.005595600846474735,0.037062372638721364,0.0,0.0,21.0,11.425118765459212,4.0523943926214585
68,0.34,0.03806943743046622,0.00022281844343779859,0.005702654577477864,0.03846517035211345,0.0,0.0,21.0,11.426050822537267,4.05275120079829
69,0.34500000000000003,0.039492896740354284,0.00021713310502069103,0.005834434695422427,0.039880128770422046,0.0,0.0,22.0,18.08747639515056,6.376201194507281
70,0.35000000000000003,0.04092362179839348,0.0002100991993010523,0.005921407353263987,0.04130578528768132,0.0,0.0,23.0,19.641162385668963,8.447350218025548
71,0.355,0.04236220478028683,0.000201793930108507,0.005990113947192661,0.04274065441243846,0.0,0.0,23.0,19.64434235290246,8.44697681440043
72,0.36,0.0438110278735945,0.0001931697179971425,0.006091253981604115,0.044183230960414197,0.0,0.0,23.0,19.645240030789427,8.447371582281516
73,0.365,0.04526896639744516,0.00018528413049969297,0.006208678034472383,0.0456319932825613,0.0,0.0,23.0,19.64774007956196,8.448429523716626
74,0.37,0.04673331690618251,0.00017797575310619072,0.006316431629309067,0.04708540652262026,0.0,0.0,23.0,19.6401714586432,8.448285112740463
75,0.375,0.048202053032456275,0.00017095852766068798,0.006391618537688249,0.04854192589827408,0.0,0.0,24.0,24.758346425207016,13.328823175742704
76,0.38,0.049673849143280796,0.00016408693381356884,0.006429050005769235,0.05000000000000129,0.0,0.0,25.0,26.115238457777657,15.156483601253012
77,0.385,0.05114785598778545,0.00015743701455708052,0.006473614729495647,0.051458074101728465,0.0,0.0,25.0,26.113090444269414,15.156289206311863
78,0.39,0.05262258162439709,0.0001506602629911932,0.006556427117662777,0.05291459347738227,0.0,0.0,25.0,26.111823506643276,15.156950002471396
79,0.395,0.05409647727563727,0.0001434611481406815,0.0066611973653531035,0.0543680067174413,0.0,0.0,25.0,26.112756565621197,15.154977081567088
80,0.4,0.055569022797730835,0.00013700736776612636,0.006769063237900576,0.055816769039588265,0.0,0.0,25.0,26.116332757001658,15.158484513945922
81,0.405,0.05703979670350422,0.00013226529331010505,0.0068480202176422495,0.05725934558756415,0.0,0.0,26.0,35.06608880756728,23.39928832626504
82,0.41000000000000003,0.058507379183649476,0.00012916604706005467,0.006877765553990472,0.05869421471232114,0.0,0.0,26.0,35.05781588830695,23.39940363727521
83,0.41500000000000004,0.05996981002757149,0.00012675931654884513,0.006893528056129089,0.0601198712295804,0.0,0.0,26.0,35.05991845136562,23.397695712899985
84,0.42,0.06142572637413425,0.00012389138691809096,0.006894754799977371,0.06153482964788909,0.0,0.0,26.0,35.05679745197039,23.39743696336314
85,0.425,0.06287291357151283,0.00012069651798979728,0.006878035641163186,0.06293762736128106,0.0,0.0,27.0,47.136106780805136,31.796440753892057
86,0.43,0.0643087463014282,0.00011708296362647273,0.006854966185354197,0.06432682780064133,0.0,0.0,27.0,47.14094696070289,31.798794451985678
87,0.435,0.06573186519277952,0.00011142210563299899,0.006821974540549739,0.06570102353787133,0.0,0.0,27.0,47.13263474426077,31.799810954834147
88,0.44,0.06714028750198031,0.0001020149432103588,0.006787355927370729,0.0670588393369611,0.0,0.0,27.0,47.1343920065442,31.800968511740912
89,0.445,0.06853189346460876,8.894018948275479e-05,0.006750422312788217,0.06839893514606246,0.0,0.0,27.0,47.12653121535294,31.796567189474
90,0.45,0.06990526877894768,7.391532789490811e-05,0.00671211499329829,0.06972000902466952,0.0,0.0,27.0,47.14594534278344,31.795836966322742
91,0.455,0.07125849901615683,5.859259331218589e-05,0.006680405083336904,0.0710208000000011,0.0,0.0,28.0,44.66053237572852,37.826199322353645
92,0.46,0.07258809030778315,4.31311843629608e-05,0.006670132483119835,0.0723000908466917,0.0,0.0,28.0,44.65897567838839,37.83108142616137
93,0.465,0.07389217575037764,2.7773223528963158e-05,0.006678668348644,0.07355671078388631,0.0,0.0,28.0,44.66347785262335,37.83235776612197
94,0.47000000000000003,0.07517130191635604,1.4269184400800732e-05,0.006695262126579949,0.07478953808384092,0.0,0.0,28.0,44.66292370905157,37.82482548845483
95,0.47500000000000003,0.07642643236224962,2.667288165466283e-06,0.0067195082864101585,0.07599750258613186,0.0,0.0,28.0,44.6543007221397,37.82847202336535
96,0.48,0.07765851166633315,-8.708960831831806e-06,0.006735592702626427,0.07717958811156928,0.0,0.0,28.0,44.65468661788694,37.8289330201513
97,0.485,0.07886817171280497,-2.0025237604149825e-05,0.006720178696108404,0.07833483476992087,0.0,0.0,28.0,44.65000815674375,37.83213296844896
98,0.49,0.0800519761674389,-2.995798182797464e-05,0.006690039646770195,0.07946234115554124,0.0,0.0,29.0,45.30314730410638,35.028220916005026
99,0.495,0.08120539741677274,-3.890577968041518e-05,0.006680382837129885,0.08056126642501027,0.0,0.0,30.0,54.213457634624206,42.121906001102865
100,0.5,0.0823279143639161,-4.748341318652305e-05,0.006688767038681993,0.08163083225088075,0.0,0.0,30.0,54.21984762111121,42.128103121684674
101,0.505,0.08341915670616218,-5.449359438040966e-05,0.006703672714007258,0.08267032464563417,0.0,0.0,30.0,54.21474646909703,42.12677354255131
102,0.51,0.0844772917909679,-5.8635234498595506e-05,0.006723815848371078,0.0836790956499458,0.0,0.0,30.0,54.213481355029856,42.127032114261624
103,0.515,0.08550121724089968,-6.0185966068183425e-05,0.006746143039929212,0.08465656487936102,0.0,0.0,30.0,54.22668372204096,42.12787408106114
104,0.52,0.08649012905885521,-5.98206802520896e-05,0.006768637045100504,0.08560222092348013,0.0,0.0,30.0,54.20765826668653,42.12571306214507
105,0.525,0.08744328144306374,-5.796377169991919e-05,0.006790109507098061,0.08651562259175616,0.0,0.0,30.0,54.225129630331914,42.12351946702554
106,0.53,0.08835858288703485,-5.616596894024859e-05,0.0068136705942237535,0.0873964000000006,0.0,0.0,30.0,54.2094658176263,42.12542435653958
107,0.535,0.08923451016117771,-5.61070831443919e-05,0.00683889334804919,0.08824425549170423,0.0,0.0,30.0,54.21344853981943,42.12278304482824
108,0.54,0.0900732506644944,-5.798393489624343e-05,0.006847936637097262,0.08905896438826688,0.0,0.0,31.0,53.96962995623595,47.153490693166454
109,0.545,0.09087579213991473,-6.0257531976858455e-05,0.0068414334026099975,0.08984037556224089,0.0,0.0,31.0,53.97585754327268,47.15119298343062
110,0.55,0.09164066384316517,-6.128967118690079e-05,0.006833959347502131,0.09058841182768773,0.0,0.0,31.0,53.9839830314033,47.151665756182
111,0.555,0.09236563737875833,-6.121891071386423e-05,0.006832852518382149,0.09130307014174721,0.0,0.0,31.0,53.981548497857865,47.15303979206625
112,0.56,0.09304961600674772,-6.025360390996517e-05,0.006838821228980174,0.09198442161152043,0.0,0.0,31.0,53.9763086778838,47.15134169354184
113,0.5650000000000001,0.09369304771878649,-5.6764031520990625e-05,0.0068559188906294815,0.09263261130036615,0.0,0.0,31.0,53.97488994662109,47.14807117767751
114,0.5700000000000001,0.09429683901750567,-4.916795333668396e-05,0.006887740852362982,0.09324785782771183,0.0,0.0,31.0,53.97503437676985,47.15286319698638
115,0.5750000000000001,0.09486151008775588,-3.803772652879473e-05,0.006926806696228472,0.09383045275648061,0.0,0.0,31.0,53.978522830642284,47.1526781629904
116,0.58,0.09538777393083939,-2.5446130808616268e-05,0.0069745909453449925,0.09438075976223192,0.0,0.0,31.0,53.978276590748216,47.15202665645576
117,0.585,0.09587628251815396,-1.3375934618264039e-05,0.007032029692500598,0.09489921357811881,0.0,0.0,32.0,50.77886559170652,57.250321795653555
118,0.59,0.09632939822015765,-2.1512332414694295e-06,0.007081510697500833,0.09538631870976055,0.0,0.0,32.0,50.783087692519,57.25009032736809
119,0.595,0.09675036192490712,9.484829695806441e-06,0.007112367229431483,0.0958426479141321,0.0,0.0,32.0,50.78884147413065,57.251842915844556
120,0.6,0.0971401795648743,2.137869227885158e-05,0.007131251135638166,0.09626884043657147,0.0,0.0,32.0,50.782592846773504,57.25081831193552
