,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2,ntr,ale_mse,mean_mse,rmse_z
3395,16.982221308403744,0.06496663782220964,0.07837714210571153,0.008892479808099634,0.06356693226439819,0.07500347963154634,0.0,364.0527187586785,0.04458133819508502,-0.025626888460884678,
3396,16.98221060584083,0.06554240765615903,0.07837512875257595,0.008803932150007448,0.06412461298747062,0.0749965203265201,0.0,363.9472227493928,0.02013892734305405,0.06102664421225835,
3397,16.992224146875653,0.06614532076476534,0.0783889168795362,0.008723664599807774,0.064710196705381,0.07500347971582229,0.0,364.05284235915786,0.044532901051419,-0.025357329491467774,
3398,16.99221332233139,0.06669020621786811,0.07838578078026597,0.008649181632468856,0.06523974823255478,0.07499652024142058,0.0,363.9470846813395,0.019878401335638625,0.06074509317426797,
3399,17.00222698654259,0.06725977651336684,0.07839607610441261,0.00859579703677454,0.06579638999123424,0.07500347980175762,0.0,364.0529977076945,0.044382924284824245,-0.025130956722497676,
3400,17.00221603760908,0.06777011094916334,0.0783904425502961,0.008534777570918238,0.06629624813894697,0.07499652015463687,0.0,363.9469084167921,0.020272963147644717,0.06055536279743347,
3401,17.012229827440553,0.0683061397262152,0.07840149498043253,0.0084725321450417,0.06682251233228856,0.07500347988940241,0.0,364.05319968459986,0.04486376008367912,-0.02486631909494671,
3402,17.012218751637164,0.06878048232829216,0.07839817403329293,0.008419267280167462,0.06729137342495599,0.07499652006611796,0.0,363.9466742447684,0.020079644974347013,0.06029867005438293,
3403,17.022232669607057,0.06927822866395907,0.07840946623369954,0.008382712936295793,0.06778609146002881,0.07500347997880881,0.0,364.0534750699182,0.044537984035121596,-0.024626323499909945,
3404,17.022221464377388,0.06971697135066961,0.07840390982472882,0.00834469470177802,0.06822292476139546,0.0749965199758106,0.0,363.9463446570953,0.020168388063744228,0.060023457816242895,
3405,17.032235513081183,0.07018276544190848,0.07841358313890123,0.008310376771594094,0.06868520631056312,0.07500348007003085,0.0,364.05387838323065,0.04465876116623675,-0.024338416637347423,
3406,17.032224175789935,0.07058997908661485,0.07840740814454128,0.008262540428879738,0.06908926404925066,0.07499651988365955,0.0,363.9458366687684,0.02027892284920571,0.05980331154609153,
3407,17.042238357903496,0.07102205668391509,0.07841448198409677,0.00822754926253752,0.06951850580190715,0.07500348016312539,0.0,364.0545435600509,0.044686400704251804,-0.024084774909829076,
3408,17.04222688583329,0.0713957052404942,0.0784036375268849,0.008199118422338962,0.0698893306019944,0.07499651978960703,0.0,363.9449168873457,0.02012228118646248,0.0595211445121965,
3409,17.052241204116385,0.0717971799462475,0.07840731963277146,0.00817023089595123,0.07028522232676139,0.07500348025815093,0.0,364.05592200553565,0.04471908063184298,-0.023812880297325378,
3410,17.05222959446421,0.07214086398638171,0.0783948586489824,0.008121970288138776,0.07062265185425624,0.07499651969359306,0.0,363.94257068378346,0.020421335688292037,0.05912927051870008,
3411,17.062244051764008,0.0725104811164974,0.0783956059539211,0.008084084856907802,0.07098517958249002,0.075003480355169,0.0,364.0609095017879,0.04436860338457445,-0.02345768828923505,
3412,17.06223230163766,0.0728224118717337,0.07837867636268035,0.008056623918033965,0.07128934821852329,0.07499651959555488,0.0,363.92560099573285,0.0200238276769179,0.05850639114504944,
3413,17.07224690089237,0.07316186496456238,0.07837659646516254,0.008046441324065274,0.07161879435997485,0.07500348045424358,0.0,364.98510718329766,0.05478608347768175,-0.006920526238039771,
3414,17.072235007306567,0.07344142910383646,0.07835875754806926,0.008064760394105292,0.07189013171157461,0.07499651949542721,0.0,365.9193555189532,0.03936991118752253,0.06792928309470188,
3415,17.082249751549526,0.07374794343315409,0.07835492772926171,0.008091723796273816,0.07218707191304927,0.07500348055544137,0.0,366.0691562916838,0.06286937202056819,-0.015427745325019868,
3416,17.082237711421897,0.07399978762466838,0.07833411321130784,0.008098968290426466,0.0724262979723345,0.07499651939314178,0.0,365.9195823943712,0.039182161526330014,0.06761049766178688,
