,t,x_0,x_1,x_2,x_des_0,x_des_1,x_des_2,ntr,ale_mse,mean_mse,rmse_z
671,3.358430299958382,0.04006224067306852,0.00243081854709059,0.006940751151254975,0.04301940259129759,3.4689746289818654e-06,0.0,154.05692971056536,0.030329691661159147,-0.11565193615277058,
672,3.3584349747077584,0.04153962320601565,0.0024208676649877386,0.007057406146905787,0.04444283601496803,-3.4689789450021454e-06,0.0,153.95121908005805,0.12136622645833786,0.13812596132518623,
673,3.3684330839512615,0.04306360705946535,0.0024261144335959942,0.007172202041536196,0.045913800635714985,3.4689832496864968e-06,0.0,154.02974154218188,0.03084285467191499,-0.11576966573881027,
674,3.3684377462867086,0.044552183289722706,0.0024156516183855624,0.007266467581597859,0.04734750266591583,-3.4689875431029937e-06,0.0,154.0522612433615,0.11882340765782716,0.13930568583249422,
675,3.378435867911648,0.04608508854481795,0.0024215898258368646,0.007371703489253361,0.04882565019308774,3.4689918252575565e-06,0.0,155.2766954954322,0.016981496718837766,-0.10023266436825262,
676,3.378440517898071,0.0475814249336556,0.002412450763662975,0.007478053146201296,0.05026343388765941,-3.468996096266602e-06,0.0,156.1268832653568,0.10866090544652911,0.15252598588793312,
677,3.388438651839808,0.04911995358934954,0.0024185528845663278,0.007590663699982163,0.051742553330172296,3.4690003561720605e-06,0.0,157.16514790729732,-0.0017307876130314612,-0.1003547925003485,
678,3.38844328954146,0.05061857065213633,0.0024090295762874804,0.007700732037806041,0.0531781969115095,-3.4690046048945116e-06,0.0,156.87636390631025,0.0930547726169154,0.15114641222993597,
679,3.398441435736042,0.05215592274532086,0.00241495799237229,0.007810067584966058,0.05465206898469352,3.4690088426056225e-06,0.0,157.11112827307943,-0.0003675910006429984,-0.10003881199918106,
680,3.398446061216628,0.05365041071197468,0.0024046908476057145,0.007887350920687538,0.05607936893822249,-3.469013069243238e-06,0.0,156.89411216388436,0.09192217202997507,0.15095973373338994,
681,3.408444219600633,0.055180973836672254,0.002409608566912411,0.007931293325767872,0.05754181914454633,3.4690172849666914e-06,0.0,157.10379747968344,6.928162764665784e-05,-0.09990699049262977,
682,3.408448832923311,0.056665300502439946,0.002398284386831321,0.007946154388745004,0.05895464318711881,-3.4690214896620326e-06,0.0,156.89626112950614,0.09185388921180498,0.150578947322933,
